"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2007","2,310.95","2,324.54","2,480.97","2,310.95","","0.22%"
"03/01/2007","2,305.82","2,318.30","2,341.00","2,186.18","","-2.02%"
"02/01/2007","2,353.43","2,387.01","2,501.35","2,353.43","","0.06%"
"01/01/2007","2,351.99","2,486.09","2,486.09","2,230.42","","-3.78%"
"12/01/2006","2,444.27","2,524.33","2,542.26","2,366.59","","-3.51%"
"11/01/2006","2,533.29","2,351.04","2,533.29","2,261.07","","8.79%"
"10/01/2006","2,328.51","2,230.30","2,328.51","2,100.34","","5.20%"
"09/01/2006","2,213.32","2,164.27","2,233.78","2,141.88","","-9.93%"
"08/01/2006","2,457.22","2,457.22","2,457.22","2,457.22","","2.49%"
"07/01/2006","2,397.58","2,397.58","2,397.58","2,397.58","","-2.10%"
"06/01/2006","2,449.11","2,449.11","2,449.11","2,449.11","","0.78%"
"05/01/2006","2,430.25","2,430.25","2,430.25","2,430.25","","-8.19%"
"04/01/2006","2,646.97","2,646.97","2,646.97","2,646.97","","12.69%"
"03/01/2006","2,348.81","2,348.81","2,348.81","2,348.81","","4.81%"
"02/01/2006","2,241.03","2,241.03","2,241.03","2,241.03","","-12.75%"
"01/01/2006","2,568.45","2,568.45","2,568.45","2,568.45","","18.31%"
"12/01/2005","2,170.94","2,170.94","2,170.94","2,170.94","","10.92%"
"11/01/2005","1,957.21","1,957.21","1,957.21","1,957.21","","9.03%"
"10/01/2005","1,795.03","1,795.03","1,795.03","1,795.03","","-7.71%"
"09/01/2005","1,944.97","1,944.97","1,944.97","1,944.97","","20.46%"
"08/01/2005","1,614.57","1,614.57","1,614.57","1,614.57","","4.71%"
"07/01/2005","1,541.99","1,541.99","1,541.99","1,541.99","","-3.37%"
"06/01/2005","1,595.82","1,595.82","1,595.82","1,595.82","","10.23%"
"05/01/2005","1,447.75","1,447.75","1,447.75","1,447.75","","1.08%"
"04/01/2005","1,432.23","1,432.23","1,432.23","1,432.23","","-10.45%"
"03/01/2005","1,599.29","1,599.29","1,599.29","1,599.29","","-4.81%"
"02/01/2005","1,680.10","1,680.10","1,680.10","1,680.10","","6.80%"
"01/01/2005","1,573.17","1,573.17","1,573.17","1,573.17","","-7.37%"
"12/01/2004","1,698.32","1,698.32","1,698.32","1,698.32","","-7.17%"
"11/01/2004","1,829.41","1,829.41","1,829.41","1,829.41","","3.13%"
"10/01/2004","1,773.94","1,773.94","1,773.94","1,773.94","","3.84%"
"09/01/2004","1,708.40","1,708.40","1,708.40","1,708.40","","7.33%"
"08/01/2004","1,591.69","1,591.69","1,591.69","1,591.69","","8.77%"
"07/01/2004","1,463.34","1,463.34","1,463.34","1,463.34","","0.30%"
"06/01/2004","1,458.93","1,458.93","1,458.93","1,458.93","","-4.05%"
"05/01/2004","1,520.51","1,520.51","1,520.51","1,520.51","","10.20%"
